,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
4131,0.65,0,"(63, 57)","(63, 57)",100,100,0.7,0.2
4130,0.65,0,"(63, 56)","(63, 56)",100,100,0.7,0.2
4129,0.65,0,"(63, 55)","(63, 55)",100,100,0.7,0.2
4128,0.65,0,"(63, 52)","(63, 52)",100,100,0.7,0.2
4127,0.65,0,"(63, 50)","(63, 50)",100,100,0.7,0.2
4126,0.65,0,"(63, 49)","(63, 49)",100,100,0.7,0.2
4125,0.65,0,"(63, 48)","(63, 48)",100,100,0.7,0.2
4123,0.65,0,"(63, 44)","(63, 44)",100,100,0.7,0.2
4098,0.65,0,"(63, 11)","(63, 11)",100,100,0.7,0.2
4097,0.65,0,"(63, 9)","(63, 9)",100,100,0.7,0.2
4096,0.65,0,"(63, 8)","(63, 8)",100,100,0.7,0.2
4069,0.65,0,"(62, 71)","(62, 71)",100,100,0.7,0.2
4068,0.65,0,"(62, 69)","(62, 69)",100,100,0.7,0.2
4067,0.65,0,"(62, 68)","(62, 68)",100,100,0.7,0.2
4066,0.65,0,"(62, 65)","(62, 65)",100,100,0.7,0.2
4065,0.65,0,"(62, 64)","(62, 64)",100,100,0.7,0.2
4064,0.65,0,"(62, 62)","(62, 62)",100,100,0.7,0.2
4063,0.65,0,"(62, 61)","(62, 61)",100,100,0.7,0.2
4062,0.65,0,"(62, 58)","(62, 58)",100,100,0.7,0.2
4061,0.65,0,"(62, 56)","(62, 56)",100,100,0.7,0.2
4060,0.65,0,"(62, 55)","(62, 55)",100,100,0.7,0.2
4059,0.65,0,"(62, 54)","(62, 54)",100,100,0.7,0.2
4058,0.65,0,"(62, 53)","(62, 53)",100,100,0.7,0.2
4057,0.65,0,"(62, 52)","(62, 52)",100,100,0.7,0.2
4056,0.65,0,"(62, 50)","(62, 50)",100,100,0.7,0.2
4055,0.65,0,"(62, 49)","(62, 49)",100,100,0.7,0.2
4054,0.65,0,"(62, 48)","(62, 48)",100,100,0.7,0.2
4053,0.65,0,"(62, 47)","(62, 47)",100,100,0.7,0.2
4052,0.65,0,"(62, 46)","(62, 46)",100,100,0.7,0.2
4051,0.65,0,"(62, 45)","(62, 45)",100,100,0.7,0.2
4050,0.65,0,"(62, 44)","(62, 44)",100,100,0.7,0.2
4049,0.65,0,"(62, 42)","(62, 42)",100,100,0.7,0.2
4070,0.65,0,"(62, 74)","(62, 74)",100,100,0.7,0.2
4071,0.65,0,"(62, 75)","(62, 75)",100,100,0.7,0.2
4072,0.65,0,"(62, 76)","(62, 76)",100,100,0.7,0.2
4073,0.65,0,"(62, 78)","(62, 78)",100,100,0.7,0.2
4095,0.65,0,"(63, 7)","(63, 7)",100,100,0.7,0.2
4094,0.65,0,"(63, 6)","(63, 6)",100,100,0.7,0.2
4093,0.65,0,"(63, 5)","(63, 5)",100,100,0.7,0.2
4092,0.65,0,"(63, 4)","(63, 4)",100,100,0.7,0.2
4091,0.65,0,"(63, 3)","(63, 3)",100,100,0.7,0.2
4090,0.65,0,"(63, 1)","(63, 1)",100,100,0.7,0.2
4089,0.65,0,"(62, 99)","(62, 99)",100,100,0.7,0.2
4088,0.65,0,"(62, 98)","(62, 98)",100,100,0.7,0.2
4087,0.65,0,"(62, 97)","(62, 97)",100,100,0.7,0.2
4086,0.65,0,"(62, 94)","(62, 94)",100,100,0.7,0.2
4146,0.65,0,"(63, 79)","(63, 79)",100,100,0.7,0.2
4085,0.65,0,"(62, 92)","(62, 92)",100,100,0.7,0.2
4083,0.65,0,"(62, 90)","(62, 90)",100,100,0.7,0.2
4082,0.65,0,"(62, 89)","(62, 89)",100,100,0.7,0.2
4081,0.65,0,"(62, 88)","(62, 88)",100,100,0.7,0.2
4080,0.65,0,"(62, 87)","(62, 87)",100,100,0.7,0.2
4079,0.65,0,"(62, 86)","(62, 86)",100,100,0.7,0.2
4078,0.65,0,"(62, 84)","(62, 84)",100,100,0.7,0.2
4077,0.65,0,"(62, 82)","(62, 82)",100,100,0.7,0.2
4076,0.65,0,"(62, 81)","(62, 81)",100,100,0.7,0.2
4075,0.65,0,"(62, 80)","(62, 80)",100,100,0.7,0.2
4074,0.65,0,"(62, 79)","(62, 79)",100,100,0.7,0.2
4084,0.65,0,"(62, 91)","(62, 91)",100,100,0.7,0.2
4248,0.65,0,"(65, 40)","(65, 40)",100,100,0.7,0.2
