,density,Run,AgentId,Posição,height,width,fireman
4173,0.65,0,"(64, 76)","(64, 76)",100,100,0.8
4172,0.65,0,"(64, 74)","(64, 74)",100,100,0.8
4182,0.65,0,"(64, 88)","(64, 88)",100,100,0.8
4045,0.65,0,"(62, 85)","(62, 85)",100,100,0.8
4447,0.65,0,"(68, 93)","(68, 93)",100,100,0.8
4449,0.65,0,"(68, 95)","(68, 95)",100,100,0.8
4723,0.65,0,"(73, 21)","(73, 21)",100,100,0.8
4722,0.65,0,"(73, 20)","(73, 20)",100,100,0.8
4721,0.65,0,"(73, 19)","(73, 19)",100,100,0.8
4720,0.65,0,"(73, 18)","(73, 18)",100,100,0.8
4719,0.65,0,"(73, 17)","(73, 17)",100,100,0.8
4718,0.65,0,"(73, 15)","(73, 15)",100,100,0.8
4717,0.65,0,"(73, 14)","(73, 14)",100,100,0.8
4716,0.65,0,"(73, 13)","(73, 13)",100,100,0.8
4715,0.65,0,"(73, 12)","(73, 12)",100,100,0.8
4714,0.65,0,"(73, 11)","(73, 11)",100,100,0.8
4713,0.65,0,"(73, 9)","(73, 9)",100,100,0.8
4712,0.65,0,"(73, 7)","(73, 7)",100,100,0.8
4711,0.65,0,"(73, 6)","(73, 6)",100,100,0.8
4710,0.65,0,"(73, 5)","(73, 5)",100,100,0.8
4709,0.65,0,"(73, 4)","(73, 4)",100,100,0.8
4708,0.65,0,"(73, 2)","(73, 2)",100,100,0.8
4707,0.65,0,"(73, 0)","(73, 0)",100,100,0.8
4706,0.65,0,"(72, 98)","(72, 98)",100,100,0.8
4705,0.65,0,"(72, 97)","(72, 97)",100,100,0.8
4704,0.65,0,"(72, 93)","(72, 93)",100,100,0.8
4703,0.65,0,"(72, 92)","(72, 92)",100,100,0.8
4724,0.65,0,"(73, 22)","(73, 22)",100,100,0.8
4702,0.65,0,"(72, 90)","(72, 90)",100,100,0.8
4725,0.65,0,"(73, 24)","(73, 24)",100,100,0.8
4727,0.65,0,"(73, 26)","(73, 26)",100,100,0.8
4748,0.65,0,"(73, 58)","(73, 58)",100,100,0.8
4747,0.65,0,"(73, 57)","(73, 57)",100,100,0.8
4746,0.65,0,"(73, 56)","(73, 56)",100,100,0.8
